ano;id_municipio;saldo_anual
2009;2304400;35391
2010;2304400;48466
2011;2304400;33308
2012;2304400;19362
2013;2304400;20702
2014;2304400;21087
2015;2304400;-22587
2016;2304400;-17360
2017;2304400;-5765
2018;2304400;5667
2019;2304400;1230
2020;2304400;11039
2021;2304400;49355
2022;2304400;40362
2009;2611606;20275
2010;2611606;39218
2011;2611606;32563
2012;2611606;10191
2013;2611606;3592
2014;2611606;-5077
2015;2611606;-37225
2016;2611606;-26178
2017;2611606;-8218
2018;2611606;-6259
2019;2611606;3947
2020;2611606;-2876
2021;2611606;29693
2022;2611606;26434
2009;2927408;32786
2010;2927408;26966
2011;2927408;18176
2012;2927408;5962
2013;2927408;8026
2014;2927408;-3668
2015;2927408;-34285
2016;2927408;-28181
2017;2927408;-5949
2018;2927408;3890
2019;2927408;1189
2020;2927408;-3940
2021;2927408;33349
2022;2927408;33633
2009;3106200;34270
2010;3106200;70364
2011;3106200;45834
2012;3106200;28660
2013;3106200;-4478
2014;3106200;-10127
2015;3106200;-68065
2016;3106200;-41243
2017;3106200;-5211
2018;3106200;26654
2019;3106200;20770
2020;3106200;-4411
2021;3106200;67093
2022;3106200;43343
2009;3303302;3866
2010;3303302;4798
2011;3303302;6505
2012;3303302;4180
2013;3303302;3331
2014;3303302;1843
2015;3303302;-8891
2016;3303302;-12000
2017;3303302;-4972
2018;3303302;-1877
2019;3303302;-155
2020;3303302;-4043
2021;3303302;8929
2022;3303302;7902
2009;3304557;51540
2010;3304557;106476
2011;3304557;84684
2012;3304557;63072
2013;3304557;30094
2014;3304557;16692
2015;3304557;-80284
2016;3304557;-142480
2017;3304557;-59549
2018;3304557;-3733
2019;3304557;-6841
2020;3304557;-83902
2021;3304557;84343
2022;3304557;99567
2009;3505708;7522
2010;3505708;14950
2011;3505708;8650
2012;3505708;6123
2013;3505708;2989
2014;3505708;4825
2015;3505708;-9726
2016;3505708;-10330
2017;3505708;-1697
2018;3505708;4118
2019;3505708;7620
2020;3505708;10392
2021;3505708;33576
2022;3505708;16492
2009;3509502;5268
2010;3509502;20295
2011;3509502;16352
2012;3509502;9628
2013;3509502;3800
2014;3509502;-3094
2015;3509502;-16281
2016;3509502;-14837
2017;3509502;-2379
2018;3509502;4056
2019;3509502;2553
2020;3509502;-5961
2021;3509502;22796
2022;3509502;14996
2009;3547809;2973
2010;3547809;12505
2011;3547809;6756
2012;3547809;9014
2013;3547809;5629
2014;3547809;-72
2015;3547809;-6309
2016;3547809;-5846
2017;3547809;897
2018;3547809;343
2019;3547809;2305
2020;3547809;-2113
2021;3547809;9428
2022;3547809;10295
2009;3548500;1756
2010;3548500;8844
2011;3548500;13271
2012;3548500;3881
2013;3548500;1104
2014;3548500;-2419
2015;3548500;-9112
2016;3548500;-8275
2017;3548500;-2614
2018;3548500;1675
2019;3548500;-93
2020;3548500;-5261
2021;3548500;8138
2022;3548500;6111
2009;3548708;-1066
2010;3548708;15648
2011;3548708;8600
2012;3548708;-1498
2013;3548708;2853
2014;3548708;-7628
2015;3548708;-18889
2016;3548708;-15389
2017;3548708;-2035
2018;3548708;2965
2019;3548708;-1099
2020;3548708;-3344
2021;3548708;14198
2022;3548708;12982
2009;3549805;4965
2010;3549805;7881
2011;3549805;4914
2012;3549805;5231
2013;3549805;2116
2014;3549805;2647
2015;3549805;-2898
2016;3549805;-4639
2017;3549805;1896
2018;3549805;1590
2019;3549805;1321
2020;3549805;-1107
2021;3549805;8088
2022;3549805;4456
2009;3549904;2912
2010;3549904;4333
2011;3549904;-120
2012;3549904;-975
2013;3549904;-1223
2014;3549904;-2998
2015;3549904;-10435
2016;3549904;-9223
2017;3549904;-2187
2018;3549904;305
2019;3549904;-473
2020;3549904;-3278
2021;3549904;8420
2022;3549904;8756
2009;3550308;131113
2010;3550308;239327
2011;3550308;181241
2012;3550308;89258
2013;3550308;54555
2014;3550308;27055
2015;3550308;-137214
2016;3550308;-135093
2017;3550308;-19182
2018;3550308;46701
2019;3550308;71851
2020;3550308;-58798
2021;3550308;298797
2022;3550308;204313
2009;4106902;18897
2010;4106902;39139
2011;4106902;31198
2012;4106902;17765
2013;4106902;8977
2014;4106902;5081
2015;4106902;-31839
2016;4106902;-21015
2017;4106902;-9266
2018;4106902;12685
2019;4106902;18253
2020;4106902;-1662
2021;4106902;43989
2022;4106902;31289
2009;4205407;7608
2010;4205407;7921
2011;4205407;7959
2012;4205407;3330
2013;4205407;6866
2014;4205407;3495
2015;4205407;-2631
2016;4205407;-4978
2017;4205407;-3831
2018;4205407;2393
2019;4205407;4849
2020;4205407;-7298
2021;4205407;14538
2022;4205407;11948
2009;4209102;4906
2010;4209102;10455
2011;4209102;8512
2012;4209102;2428
2013;4209102;5895
2014;4209102;4642
2015;4209102;-10258
2016;4209102;-2990
2017;4209102;5467
2018;4209102;8987
2019;4209102;6491
2020;4209102;3480
2021;4209102;13866
2022;4209102;5682
2009;4216602;4320
2010;4216602;2729
2011;4216602;6370
2012;4216602;5801
2013;4216602;5173
2014;4216602;3743
2015;4216602;-3932
2016;4216602;-2021
2017;4216602;2341
2018;4216602;469
2019;4216602;5383
2020;4216602;5067
2021;4216602;11545
2022;4216602;3942
2009;4314902;19054
2010;4314902;28760
2011;4314902;24796
2012;4314902;14856
2013;4314902;12685
2014;4314902;5510
2015;4314902;-19550
2016;4314902;-16819
2017;4314902;-10967
2018;4314902;523
2019;4314902;-303
2020;4314902;-12538
2021;4314902;18876
2022;4314902;18467
2009;5208707;13538
2010;5208707;24790
2011;5208707;22939
2012;5208707;14873
2013;5208707;10822
2014;5208707;1590
2015;5208707;-12998
2016;5208707;-14029
2017;5208707;1115
2018;5208707;5102
2019;5208707;2972
2020;5208707;-1771
2021;5208707;37780
2022;5208707;36233
2009;5300108;17422
2010;5300108;25017
2011;5300108;18335
2012;5300108;9495
2013;5300108;5423
2014;5300108;1593
2015;5300108;-19954
2016;5300108;-28527
2017;5300108;-3394
2018;5300108;13428
2019;5300108;11082
2020;5300108;-13058
2021;5300108;54928
2022;5300108;46189