Data	3698 - Taxa de cï¿½mbio - Livre - Dï¿½lar americano (venda) - Mï¿½dia de perï¿½odo - mensal - u.m.c./US$	13522 - ï¿½ndice nacional de preï¿½os ao consumidor - amplo (IPCA) - em 12 meses - %	27574 - ï¿½ndice de Commodities - Brasil - ï¿½ndice
01/2008	1,7743	4,56	98
02/2008	1,7277	4,61	103,45
03/2008	1,7076	4,73	105,36
04/2008	1,6889	5,04	105,34
05/2008	1,6605	5,58	106,03
06/2008	1,6189	6,06	107,75
07/2008	1,5914	6,37	104,94
08/2008	1,6123	6,17	97,28
09/2008	1,7996	6,25	102,22
10/2008	2,1729	6,41	102,97
11/2008	2,2663	6,39	98,88
12/2008	2,3944	5,9	97,98
01/2009	2,3074	5,84	96,97
02/2009	2,3127	5,9	93,49
03/2009	2,3138	5,61	91,32
04/2009	2,2059	5,53	90,71
05/2009	2,0609	5,2	90,81
06/2009	1,9576	4,8	87,34
07/2009	1,9328	4,5	85,87
08/2009	1,8452	4,36	86,52
09/2009	1,8198	4,34	85,82
10/2009	1,7384	4,17	86,38
11/2009	1,7262	4,22	87,68
12/2009	1,7503	4,31	91,77
01/2010	1,7798	4,59	96,36
02/2010	1,8416	4,83	96,7
03/2010	1,7858	5,17	91,3
04/2010	1,7566	5,26	90,12
05/2010	1,8132	5,22	89,37
06/2010	1,8065	4,84	87,96
07/2010	1,7696	4,6	89,22
08/2010	1,7596	4,49	93,76
09/2010	1,7187	4,7	97,74
10/2010	1,6835	5,2	102,18
11/2010	1,7133	5,63	109,37
12/2010	1,6934	5,91	114,05
01/2011	1,6749	5,99	119,03
02/2011	1,668	6,01	125,67
03/2011	1,6591	6,3	124,77
04/2011	1,5864	6,51	120,59
05/2011	1,6135	6,55	113,74
06/2011	1,587	6,71	111,36
07/2011	1,5639	6,87	110,25
08/2011	1,597	7,23	111,02
09/2011	1,7498	7,31	119,35
10/2011	1,7726	6,97	115,74
11/2011	1,7905	6,64	114,98
12/2011	1,8369	6,5	113,62
01/2012	1,7897	6,22	114,48
02/2012	1,7184	5,84	111,7
03/2012	1,7953	5,24	114,1
04/2012	1,8548	5,1	113,8
05/2012	1,986	4,99	115,6
06/2012	2,0492	4,92	115,24
07/2012	2,0287	5,2	123,8
08/2012	2,0294	5,24	124,72
09/2012	2,0281	5,28	126,94
10/2012	2,0298	5,45	125,61
11/2012	2,0678	5,53	126,94
12/2012	2,0778	5,84	128,75
01/2013	2,0311	6,15	126,11
02/2013	1,9733	6,31	122
03/2013	1,9828	6,59	120,11
04/2013	2,0022	6,49	118,01
05/2013	2,0348	6,5	118,19
06/2013	2,173	6,7	124,03
07/2013	2,2522	6,27	126,62
08/2013	2,3422	6,09	131,71
09/2013	2,2705	5,86	128,89
10/2013	2,1886	5,84	125,28
11/2013	2,2954	5,77	129,23
12/2013	2,3455	5,91	132,85
01/2014	2,3822	5,59	135,37
02/2014	2,3837	5,68	140,49
03/2014	2,3261	6,15	140,66
04/2014	2,2328	6,28	136,79
05/2014	2,2209	6,37	134,28
06/2014	2,2355	6,52	133,55
07/2014	2,2246	6,5	131,3
08/2014	2,268	6,51	129,87
09/2014	2,3329	6,75	132,39
10/2014	2,4483	6,59	139,28
11/2014	2,5484	6,56	144,97
12/2014	2,6394	6,41	144,54
01/2015	2,6342	7,14	137,64
02/2015	2,8165	7,7	143,96
03/2015	3,1395	8,13	155,69
04/2015	3,0432	8,17	151,96
05/2015	3,0617	8,47	153,7
06/2015	3,1117	8,89	155,07
07/2015	3,2231	9,56	160,33
08/2015	3,5143	9,53	168
09/2015	3,9065	9,49	183,62
10/2015	3,8801	9,93	185,03
11/2015	3,7765	10,48	176,15
12/2015	3,8711	10,67	178,15
01/2016	4,0524	10,71	183,39
02/2016	3,9737	10,36	180,54
03/2016	3,7039	9,39	170,41
04/2016	3,5658	9,28	164,72
05/2016	3,5393	9,32	166,25
06/2016	3,4245	8,84	166,98
07/2016	3,2756	8,74	158,77
08/2016	3,2097	8,97	155,61
09/2016	3,2564	8,48	158,33
10/2016	3,1858	7,87	158,07
11/2016	3,342	6,99	166,76
12/2016	3,3523	6,29	170,31
01/2017	3,1966	5,35	165,23
02/2017	3,1042	4,76	159,6
03/2017	3,1279	4,57	156,07
04/2017	3,1362	4,08	156,15
05/2017	3,2095	3,6	160,04
06/2017	3,2954	3	159,74
07/2017	3,2061	2,71	157,57
08/2017	3,1509	2,46	154,23
09/2017	3,1348	2,54	157,54
10/2017	3,1912	2,7	162,52
11/2017	3,2594	2,8	171,15
12/2017	3,2919	2,95	169,65
01/2018	3,2106	2,86	171,2
02/2018	3,2415	2,84	171,78
03/2018	3,2792	2,68	169,09
04/2018	3,4075	2,76	175,83
05/2018	3,6361	2,86	191,92
06/2018	3,7732	4,39	197,93
07/2018	3,8288	4,48	197,04
08/2018	3,9298	4,19	198,68
09/2018	4,1165	4,53	210,59
10/2018	3,7584	4,56	197,73
11/2018	3,7867	4,05	192,92
12/2018	3,8851	3,75	193,73
01/2019	3,7417	3,78	186,91
02/2019	3,7236	3,89	187,38
03/2019	3,8465	4,58	192,19
04/2019	3,8962	4,94	195,13
05/2019	4,0015	4,66	191,27
06/2019	3,8588	3,37	181,86
07/2019	3,7793	3,22	180,49
08/2019	4,02	3,43	180,99
09/2019	4,1215	2,89	190,45
10/2019	4,087	2,54	194,65
11/2019	4,1553	3,27	204,27
12/2019	4,1096	4,31	205,54
01/2020	4,1495	4,19	207,56
02/2020	4,341	4,01	206,62
03/2020	4,8839	3,3	197,72
04/2020	5,3256	2,4	200,81
05/2020	5,6434	1,88	225,52
06/2020	5,1966	2,13	214,57
07/2020	5,2802	2,31	229,77
08/2020	5,4612	2,44	251,34
09/2020	5,3995	3,14	252,69
10/2020	5,6258	3,92	266,69
11/2020	5,4178	4,31	267
12/2020	5,1456	4,52	263,38
01/2021	5,3562	4,56	291,18
02/2021	5,4165	5,2	311,65
03/2021	5,6461	6,1	328,22
04/2021	5,5621	6,76	332,2
05/2021	5,2911	8,06	335,87
06/2021	5,0319	8,35	323,94
07/2021	5,1567	8,99	340,69
08/2021	5,2517	9,68	352,27
09/2021	5,2797	10,25	360,47
10/2021	5,54	10,67	401,15
11/2021	5,5569	10,74	399,81
12/2021	5,6514	10,06	396,96
01/2022	5,5341	10,38	408,84
02/2022	5,1966	10,54	405,63
03/2022	4,9684	11,3	423,39
04/2022	4,758	12,13	418,63
05/2022	4,9551	11,73	432,11
06/2022	5,0492	11,89	428,02
07/2022	5,3681	10,07	417,62
08/2022	5,1433	8,73	414,63
09/2022	5,237	7,17	408,91
10/2022	5,2503	6,47	394,52
11/2022	5,2747	5,9	399,49
12/2022	5,2424	5,79	390,76
01/2023	5,2007	5,77	380,67
02/2023	5,1717	5,6	374,72
03/2023	5,2115	4,65	364,06
04/2023	5,0197	4,18	362,44
05/2023	4,9828	3,94	345,47
06/2023	4,8516	3,16	342,8
07/2023	4,8008	3,99	349,1
08/2023	4,9035	4,61	359,08
09/2023	4,937	5,19	372,47
10/2023	5,0648	4,82	376,14
11/2023	4,8983	4,68	356,99
12/2023	4,8972	4,62	342,77
01/2024	4,9144	4,51	345,47